id,name,x,y,lon,lat,context
17,司马台长城,13056381.993428804,4962062.23215684,117.287475,40.658241,司马台长城保存完好，适合徒步和欣赏壮丽的山景。
18,北京天文馆,12950557.010062106,4856835.936350938,116.336833,39.937306,北京天文馆提供丰富的天文知识，适合家庭和学生参观。
19,前门大街,12958022.317753686,4850862.826862673,116.403895,39.896152,前门大街是购物和美食的集中地，适合体验北京的繁华。
20,密云水库,13014797.37312858,4941431.712170982,116.913914,40.517502,密云水库风景优美，是户外活动和野餐的理想场所。
21,北京大观园,12952687.553796396,4847266.961569261,116.355972,39.871365,北京大观园是以红楼梦为主题的园林，适合文化爱好者游览。
22,王府井,12958971.53905168,4852722.271640015,116.412422,39.908966,王府井是北京最繁华的商业街，购物和美食应有尽有。
23,石城古镇,12991902.516096108,4844089.401198012,116.708246,39.849454,石城古镇保留了传统建筑风格，适合体验古镇文化。
24,京东大峡谷,13043326.220909586,4901743.175572952,117.170193,40.245919,京东大峡谷以壮丽的自然景观著称，适合户外探险。
25,八达岭长城,12914931.322104044,4917838.356776573,116.016802,40.356188,八达岭长城是最著名的长城段，适合游览和拍照。
26,颐和园,12943693.718176736,4865886.623143043,116.275179,39.999617,颐和园是中国最大的皇家园林，风景如画，适合游览。
27,圆明园,12946563.645968877,4867215.195161475,116.30096,40.008759,圆明园是历史悠久的皇家园林，适合了解清代历史。
28,玉渊潭,12948675.599348208,4853833.112638327,116.319932,39.91662,玉渊潭以樱花闻名，春季特别美丽，适合赏花和散步。
29,昌平区,12938779.519255666,4898102.562852562,116.231034,40.220952,昌平区有丰富的自然景观和历史遗迹，适合探险和游览。
30,清华大学,12949455.281061726,4866409.194892451,116.326936,40.003213,清华大学是中国顶尖学府，校园环境优美，适合参观。
31,北京国际鲜海洋馆,12956176.751915822,4841881.760080319,116.387316,39.834227,海洋馆展示丰富的海洋生物，适合家庭和孩子们游玩。
32,花港,12896048.642158743,4836529.171590896,115.847176,39.797294,花港是一个交通便利的公交站，方便前往周边景点。
33,香山公园,12934072.040629001,4864504.759831087,116.188746,39.990107,香山公园以红叶著称，秋季特别美丽，适合登山和散步。
34,居庸关长城,12921197.050962834,4908343.650764081,116.073088,40.291161,居庸关长城是长城的重要关口，适合历史爱好者游览。
35,奥林匹克水公园,12956715.872209733,4868650.636551845,116.392159,40.018635,奥林匹克水公园是休闲和运动的好去处，适合家庭游玩。
36,中央电视塔,12947237.796805121,4854157.07083757,116.307016,39.918852,中央电视塔是北京的地标，提供城市全景，适合拍照。
37,明十三陵,12939303.500098832,4906792.560940391,116.235741,40.280532,明十三陵是明朝皇帝的陵墓群，历史文化深厚，适合游览。
38,平谷区,13037915.64837907,4886424.824756067,117.121589,40.140805,平谷区有丰富的自然景观，适合户外活动和休闲。
39,门头沟区,12924378.562009705,4857349.320450549,116.101668,39.940842,门头沟区以自然风光著称，适合探险和游览。
40,798艺术区,12968140.034952393,4863771.912724616,116.494784,39.985063,798艺术区是现代艺术的聚集地，适合欣赏当代艺术作品。
41,龙门涧,12864149.81943295,4869184.837735418,115.560624,40.02231,龙门涧风景优美，适合徒步和享受自然。
42,北京市观博物馆,12957257.998129897,4854010.040113286,116.397029,39.917839,观博物馆展示丰富的历史文化，适合文化爱好者参观。
43,小龙门,12851204.030570636,4863488.755327899,115.44433,39.983114,小龙门是自然风光优美的地方，适合户外活动。
44,潘家园,12963709.296579842,4848364.863182337,116.454982,39.878934,潘家园是著名的集市，适合寻找古玩和特色商品。
45,鸟巢水立方,12957511.695249414,4865155.417659182,116.399308,39.994585,鸟巢和水立方是奥运会的标志性建筑，适合拍照和游览。
46,北京欢乐谷,12968135.470853271,4846685.350539892,116.494743,39.867355,北京欢乐谷是大型游乐场，适合家庭和朋友一起游玩。
47,周口店,12905270.905373512,4820904.3746316815,115.930021,39.689369,周口店是著名的考古遗址，适合了解人类历史。
48,北京人遗址,12905680.672419121,4821201.224050849,115.933702,39.691421,北京人遗址是重要的考古发现，适合历史爱好者参观。
49,上方山,12893766.59259748,4818685.371982703,115.826676,39.674028,上方山风景优美，适合徒步和享受自然。
50,北京环球影城,12988893.104982002,4844559.786118136,116.681212,39.852698,北京环球影城是大型主题公园，适合家庭和朋友游玩。
51,霞云岭,12879688.350555327,4830321.78204202,115.700209,39.754438,霞云岭是国家森林公园，适合徒步和享受自然。
52,中国大运河,12992839.158291643,4848646.719540503,116.71666,39.880877,大运河是世界文化遗产，适合了解中国古代水利工程。
53,卢沟桥,12938215.574715309,4844224.105335569,116.225968,39.850383,卢沟桥是历史悠久的桥梁，适合了解红色历史。
54,十渡风景区,12869723.92029544,4813856.213779977,115.610697,39.64063,十渡风景区以自然风光著称，适合户外活动和休闲。
55,银狐洞,12902281.309128769,4836675.219827592,115.903165,39.798302,银狐洞是自然景观，适合探险和游览。
56,北京野生动物园,12950317.450517917,4793033.162623981,116.334681,39.496435,北京野生动物园是家庭游的好去处，拥有丰富的动物展览。
57,田义墓,12930645.07010493,4856533.66773608,116.157961,39.935224,田义墓是历史遗址，适合了解古代文化。
58,古桑森林公园,13190996.200865477,3897634.327914199,118.496735,33.017555,古桑森林公园是自然风光优美的地方，适合散步和休闲。
59,八大处公园,12933583.5707034,4860520.374694544,116.184358,39.962679,八大处公园以自然风光和佛教文化著称，适合游览。
60,骑士公园,12940183.146715079,4816827.493686883,116.243643,39.661181,骑士公园是交通便利的公园，适合休闲和散步。
61,北京宦官文化陈列馆,12958307.963567058,4851262.721798069,116.406461,39.898908,宦官文化陈列馆展示了丰富的历史文化，适合了解清代历史。
